name,group,groupStr,slope_delay,slope_probe
DMSS030,2,Old,-0.119575651133208,-0.178751826352851
DMSS031,2,Old,0.075804906548781,0.0457834616930058
DMSS032,2,Old,-0.106524501194221,-0.0405745981587228
DMSS036,2,Old,-0.0336773068836836,0.0232353492821003
DMSS037,2,Old,0.0281164214342525,0.0784461716896141
DMSS038,2,Old,0.0307822349285399,0.047733953133608
DMSS039,2,Old,-0.0236907769072106,0.0445903375099307
DMSS040,2,Old,-0.0159665208995027,-0.0540985830048475
DMSS041,2,Old,-0.0319077944673718,0.0260609873883111
DMSS046,2,Old,-0.0694178961192878,0.0952752717411286
DMSS050,2,Old,-0.0629085828832778,-0.0477668912966924
DMSS051,2,Old,-0.0221764591905921,-0.0129138137713846
DMSS052,2,Old,-0.0594687383500394,0.0413173729268275
DMSS053,2,Old,0.0258169113877538,0.0399972313275075
DMSS054,2,Old,-0.00747714378303847,0.0211094464249322
DMSS055,2,Old,-0.134794035146598,-0.0656036071803918
DMSS056,2,Old,0.00098950817275548,0.0902236596840166
DMSS057,2,Old,-0.0474308664342743,0.000497273607139054
DMSS058,2,Old,0.161246575742254,0.21073300059944
DMSS059,2,Old,-0.0136314885524831,-0.0757803360538219
DMSS061,2,Old,-0.0448264929364001,-0.00320434603427087
dmss01,1,Young,-0.0293447195934077,0.039223222274571
dmss02,1,Young,0.066437403072008,0.0373801256967277
dmss03,1,Young,-0.0349353481321784,0.075889019919259
dmss06,1,Young,-0.0437654688072344,-0.0723577991295999
dmss07,1,Young,-0.0557886746940205,-0.0771577375968154
dmss08,1,Young,0.00977039574251162,0.00253303051436136
dmss11,1,Young,0.0439113682379989,0.065485421195784
dmss13,1,Young,-0.119777936303879,-0.152684133567365
dmss14,1,Young,-0.0722034672734789,0.00407783340523854
dmss15,1,Young,-0.063123266751453,-0.101571951357256
dmss16,1,Young,0.0601766132103593,0.0535957087941778
dmss17,1,Young,-0.283155768766135,-0.178879717508157
dmss19,1,Young,-0.29783479546379,-0.372917479856498
dmss20,1,Young,-0.0864962033326328,-0.0380920269518783
dmss21,1,Young,0.00724106630434346,0.0626359103022231
dmss22,1,Young,-0.128794455033726,-0.160506113822612
dmss25,1,Young,0.0508031470972045,0.0983875912982429
dmss26,1,Young,-0.00127202383954522,-0.0509551969984084
dmss27,1,Young,-0.0437125869384026,-0.0812052726283288
dmss29,1,Young,-0.0114314663137908,0.040236134086924
