name,group,groupStr,slope_delay,slope_probe
DMSS030,2,Old,-0.195845914087401,-0.191596210584014
DMSS031,2,Old,0.372649174784633,0.333259213029254
DMSS032,2,Old,-0.194621382380168,-0.154461238476696
DMSS036,2,Old,0.119801158505919,0.179316278416354
DMSS037,2,Old,0.127475017114182,0.111598247437515
DMSS038,2,Old,0.109847591849076,0.10814389290588
DMSS039,2,Old,0.071276756931373,0.0287967763777224
DMSS040,2,Old,0.379238802888288,0.39410296189342
DMSS041,2,Old,0.581839682509587,0.609415199462805
DMSS046,2,Old,-0.0830276578090329,0.0794331628972224
DMSS050,2,Old,-0.0635681202199408,-0.131021637164666
DMSS051,2,Old,0.045438200938321,0.154226932696573
DMSS052,2,Old,-0.0146657959592863,0.0429822673047472
DMSS053,2,Old,-0.155412747235039,-0.198385691717612
DMSS054,2,Old,0.104713468059465,0.121461192282402
DMSS055,2,Old,0.00940084753668603,0.0266863983451083
DMSS056,2,Old,0.0342747999169895,0.0782155421115235
DMSS057,2,Old,0.0843362202319972,0.0924145647265263
DMSS058,2,Old,-0.0819032099479329,-0.033318572410098
DMSS059,2,Old,-0.03710859855395,0.029116614463394
DMSS061,2,Old,0.0144034139408976,0.027131636066783
dmss01,1,Young,-0.0737985746670599,0.0145767833986269
dmss02,1,Young,0.0998705967256518,0.158824187242955
dmss03,1,Young,-0.001686708703936,0.0372502190755453
dmss06,1,Young,0.12670317204386,0.105100094780383
dmss07,1,Young,-0.121760227783474,-0.0752861507622557
dmss08,1,Young,0.0939242126792938,0.0589332065860997
dmss11,1,Young,-0.015232192150079,-0.072633327461689
dmss13,1,Young,-0.0456968811233676,-0.178562321027503
dmss14,1,Young,-0.136329821378993,-0.0574862824705773
dmss15,1,Young,0.218814363827379,0.110777737808627
dmss16,1,Young,0.249515231220493,0.174496059908437
dmss17,1,Young,-0.222389004327359,-0.208583045274728
dmss19,1,Young,-0.0827092113238351,-0.137815572439001
dmss20,1,Young,-0.0716895519418815,0.0258567317197402
dmss21,1,Young,-0.00605241601487552,0.0180773393824186
dmss22,1,Young,-0.0268437556444091,-0.0828006701988828
dmss25,1,Young,0.117301032719277,0.0915300540082418
dmss26,1,Young,-0.0138368734863507,-0.0528069190697073
dmss27,1,Young,-0.0213963902205945,-0.0742613496010181
dmss29,1,Young,-0.105327354224,-0.0523661421860422
