name,group,groupStr,slope_delay,slope_probe
DMSS030,2,Old,-0.204868882455834,-0.225496639530078
DMSS031,2,Old,0.385838525669389,0.34081523790931
DMSS032,2,Old,-0.200136949973537,-0.152939249778267
DMSS036,2,Old,0.111366915011754,0.209300086763868
DMSS037,2,Old,0.0365903517664457,0.0447284859727784
DMSS038,2,Old,0.108420035162398,0.105288736438155
DMSS039,2,Old,0.0760587611923734,0.0261236695410444
DMSS040,2,Old,0.398719777998261,0.4166753708752
DMSS041,2,Old,0.626822228958416,0.652965873015394
DMSS046,2,Old,-0.0862908774208048,0.118442985700329
DMSS050,2,Old,-0.111468927134132,-0.156046608543603
DMSS051,2,Old,0.105585489378759,0.182271543711737
DMSS052,2,Old,-0.0422904718563477,0.0279183610941215
DMSS053,2,Old,-0.188185257788132,-0.215920572649809
DMSS054,2,Old,0.13018291340194,0.151311149504427
DMSS055,2,Old,0.0204319016023617,0.0503205586114003
DMSS056,2,Old,0.0306135527261871,0.0896383460852469
DMSS057,2,Old,0.100608465973125,0.140165337476191
DMSS058,2,Old,-0.0471756501962393,0.0094205247646823
DMSS059,2,Old,-0.0425474345674735,0.0131191323223354
DMSS061,2,Old,0.0234741891977433,0.0379572114000695
dmss01,1,Young,-0.106739842434914,0.00119214412557979
dmss02,1,Young,0.0337967685868469,0.103160580961137
dmss03,1,Young,-0.00492283426656359,0.0231387420266543
dmss06,1,Young,0.11692200967151,0.103401378906422
dmss07,1,Young,-0.0953054663290781,-0.0296112558879566
dmss08,1,Young,0.0906692294784874,0.0763781338757817
dmss11,1,Young,-0.0942580343926935,-0.159068996004266
dmss13,1,Young,-0.0610708125361368,-0.188745957000129
dmss14,1,Young,-0.155375833796643,-0.0714556833496526
dmss15,1,Young,0.200754208864312,0.0921132618998502
dmss16,1,Young,0.14331026354313,0.102756477703883
dmss17,1,Young,-0.22390248649791,-0.216082501847761
dmss19,1,Young,-0.0781124424567671,-0.144785985881445
dmss20,1,Young,-0.0877485822998778,0.0286259060964534
dmss21,1,Young,-0.00604644785542216,0.0134486005389455
dmss22,1,Young,-0.0645992755236995,-0.118221746149599
dmss25,1,Young,0.120183230679898,0.0747848928030524
dmss26,1,Young,-0.0500127318212286,-0.064362613650652
dmss27,1,Young,0.016068817040513,-0.0474416516937783
dmss29,1,Young,-0.0935887069907625,-0.0509364932638999
