name,group,groupStr,slope_delay,slope_probe
DMSS030,2,Old,0.201764236054839,0.143875341333075
DMSS031,2,Old,0.0459262801259943,0.0136355853823809
DMSS032,2,Old,0.361948804960302,0.450745252787945
DMSS036,2,Old,0.359020613182732,0.519130385872145
DMSS037,2,Old,0.0367819103697097,0.0530062218952761
DMSS038,2,Old,0.0262729303420241,0.0132986790870427
DMSS039,2,Old,-0.0428847070304717,-0.00181442212666637
DMSS040,2,Old,-0.0463231094097104,-0.0446519105070878
DMSS041,2,Old,0.0833036592193919,0.102850955933437
DMSS046,2,Old,0.0982556030761383,0.308982363302609
DMSS050,2,Old,0.20631528417304,0.233482844746022
DMSS051,2,Old,-0.0886114709788038,-0.0802030274332975
DMSS052,2,Old,0.488692555457584,0.61065892713045
DMSS053,2,Old,0.0762857602275575,0.0925701463819289
DMSS054,2,Old,0.536489408911051,0.587901809544252
DMSS055,2,Old,0.094052592154914,0.206155690034122
DMSS056,2,Old,0.29087423764985,0.410104558482163
DMSS057,2,Old,0.11905205840512,0.202944991471355
DMSS058,2,Old,0.301957324187047,0.347845221924158
DMSS059,2,Old,0.207958883187321,0.155577120686166
DMSS061,2,Old,-0.0121041313814044,0.0338956428537162
dmss01,1,Young,0.0927490298069273,0.247042961714312
dmss02,1,Young,-0.030925503838779,-0.0620411915155876
dmss03,1,Young,-0.181752498451276,-0.122872948144355
dmss06,1,Young,0.101721219860468,0.104233216973139
dmss07,1,Young,0.018192340667488,0.0205675449740616
dmss08,1,Young,0.0832198234153691,0.0539165009897725
dmss11,1,Young,-0.0258843646766962,0.0228456880155283
dmss13,1,Young,0.0662709879401127,0.0314983348237342
dmss14,1,Young,-0.0151099156416071,0.087486371617497
dmss15,1,Young,0.100184568528216,0.0455205099076498
dmss16,1,Young,0.0801786422822745,0.136387367594476
dmss17,1,Young,-0.0639101011494393,0.0939748930787047
dmss19,1,Young,0.0896268345249883,0.0156536194056472
dmss20,1,Young,-0.0448951906086922,0.0276935466051062
dmss21,1,Young,0.0909494752952884,0.123512364930101
dmss22,1,Young,0.0777024107345809,0.025897177073385
dmss25,1,Young,0.0378467246723034,0.0488353913194563
dmss26,1,Young,-0.140268805473826,-0.167533590398252
dmss27,1,Young,-0.13493442606741,-0.18741291177592
dmss29,1,Young,-0.073749916989346,-0.0503169674813009
