name,group,groupStr,slope_delay,slope_probe
DMSS030,2,Old,-0.242584612401395,-0.246375549009537
DMSS031,2,Old,0.122919470892821,0.226937694005407
DMSS032,2,Old,0.130682514703502,-0.0927695249446749
DMSS036,2,Old,-0.160665611301751,-0.151827205555575
DMSS037,2,Old,0.0595699368401145,0.0989847432363624
DMSS038,2,Old,-0.324132820130519,-0.221479906565656
DMSS039,2,Old,-0.0234315140469509,0.0622551493318227
DMSS040,2,Old,-0.0402306132790264,-0.0261709026927649
DMSS041,2,Old,0.0368702281110373,0.0454413939954868
DMSS046,2,Old,0.015526797444089,0.0706204988468641
DMSS050,2,Old,0.0211279372610056,-0.0588385346122589
DMSS051,2,Old,-0.0958176747735414,-0.128673792944041
DMSS052,2,Old,0.065922956052733,0.0525016566197992
DMSS053,2,Old,-0.000318783736723801,0.0190759614990424
DMSS054,2,Old,0.0129446897925365,-0.0589480352656672
DMSS055,2,Old,-0.0868545948428875,-0.113317847021817
DMSS056,2,Old,-1.97961107777827e-05,-0.0652593092193843
DMSS057,2,Old,-0.00510062712336609,0.0311085553375905
DMSS058,2,Old,-0.0872277683966803,-0.0885336663481796
DMSS059,2,Old,-0.0303444333688766,0.0166368235134869
DMSS061,2,Old,-0.0910248460922162,-0.186448247082578
dmss01,1,Young,-0.239499557068173,-0.236138940147046
dmss02,1,Young,0.0663855820393705,0.034126006967059
dmss03,1,Young,-0.274931311246131,-0.330978349537412
dmss06,1,Young,-0.00364588722085512,0.0411492173174425
dmss07,1,Young,0.00845794700984814,0.0736463744195065
dmss08,1,Young,0.00576778438189768,-0.0549041664070655
dmss11,1,Young,-0.348095242788466,-0.339479272846304
dmss13,1,Young,-0.222165100442364,-0.220131555137403
dmss14,1,Young,0.0211296801969776,0.0732024327013684
dmss15,1,Young,0.00101580441002865,-0.0184428237665692
dmss16,1,Young,-0.197993213463713,-0.184706365061399
dmss17,1,Young,-0.0179989338016615,0.0245055837000882
dmss19,1,Young,0.226363926548978,0.223650512280558
dmss20,1,Young,0.192207114066958,0.176728797161025
dmss21,1,Young,0.0758812667782904,0.0933452620168815
dmss22,1,Young,-0.285653408902292,-0.256071539611236
dmss25,1,Young,-0.00537385136783135,-0.0434233807906833
dmss26,1,Young,-0.0292775997920898,0.0203393695814697
dmss27,1,Young,0.0469700614828963,0.0155040884208458
dmss29,1,Young,0.30483660710979,0.209607692612586
