name,group,groupStr,slope_delay,slope_probe
DMSS030,2,Old,-0.183776407511833,-0.257247160931972
DMSS031,2,Old,0.102350041964743,0.0419698011087159
DMSS032,2,Old,-0.256085480891047,-0.184652513900703
DMSS036,2,Old,-0.0886235876833931,-0.0489735983614957
DMSS037,2,Old,-0.0141977239730392,0.0357785598255793
DMSS038,2,Old,0.0846271609511266,0.113805329817671
DMSS039,2,Old,0.0127652874942958,0.0624902134547084
DMSS040,2,Old,-0.0454184935403644,-0.0847056375666404
DMSS041,2,Old,-0.106841721425803,-0.0597912723291087
DMSS046,2,Old,-0.0169748343787697,0.140083216504743
DMSS050,2,Old,-0.0426827593659882,-0.0189495002914922
DMSS051,2,Old,-0.00929776567208668,-0.00251576053358784
DMSS052,2,Old,-0.0611012970086971,0.0677009608952086
DMSS053,2,Old,0.0526412081373054,0.0928351355335796
DMSS054,2,Old,0.0381903400685392,0.0829786183731542
DMSS055,2,Old,-0.244909250392271,-0.152369675464485
DMSS056,2,Old,-0.0084656141398311,0.0878046873818511
DMSS057,2,Old,-0.0523362362831869,-0.034138892897063
DMSS058,2,Old,0.158681427706512,0.192089286495409
DMSS059,2,Old,-0.0604805229473777,-0.175496480943444
DMSS061,2,Old,-0.083515316208491,-0.0241141717008965
dmss01,1,Young,-0.065413430562304,0.0168468165289626
dmss02,1,Young,0.0406693122569021,0.0316807386159213
dmss03,1,Young,-0.0026691297504916,0.170794746377481
dmss06,1,Young,-0.025694186295619,-0.0774795507017139
dmss07,1,Young,0.0145144748247615,-0.00107633471622545
dmss08,1,Young,-0.0138350738275954,0.0268290171016319
dmss11,1,Young,-0.183208173560765,-0.103727777320764
dmss13,1,Young,-0.121808165691908,-0.132078766570746
dmss14,1,Young,-0.0172131082195965,0.0540660392148434
dmss15,1,Young,-0.00537790200491698,-0.0832630136517357
dmss16,1,Young,0.0764890031423311,0.0898336055974544
dmss17,1,Young,-0.368400342531497,-0.209886576342789
dmss19,1,Young,-0.234447077666648,-0.326465966087357
dmss20,1,Young,-0.0923222817673555,-0.0676759626851557
dmss21,1,Young,0.0104326281080391,0.107263419261924
dmss22,1,Young,-0.0535055258576262,-0.0726340144529342
dmss25,1,Young,0.108263178795325,0.132268718346919
dmss26,1,Young,-0.0508807222189425,-0.0960286403998755
dmss27,1,Young,-0.0626865487818793,-0.111278330503382
dmss29,1,Young,0.0235168532052227,0.0580359809124887
